Puzzles,Avg_Times,Count of Solutions Found
1,0.4706726556701096,97
2,0.6603910517241354,87
3,0.41454086767676057,99
4,0.5400902382353069,68
5,0.7129195447761371,67
6,0.2197861360824847,97
7,0.5621722385965032,57
8,0.37826483116883447,77
9,0.5318706511904661,84
10,0.6112087632352848,68
11,0.7277779273684299,95
12,0.3742064141304358,92
13,0.5832351406779677,59
14,0.3957021197916559,96
15,0.6102808696202483,79
16,0.609298698701294,77
17,0.5522064350877393,57
18,1.0084466126760614,71
19,0.8403709999999796,35
20,0.49402490937498733,96
21,0.7406250317072911,41
22,0.8976187291139044,79
23,0.5877767157894439,57
24,0.7005232018518209,54
25,0.2616713050000069,100
26,0.4976353907216521,97
27,0.6278325135593211,59
28,0.5519645714285522,84
29,0.27194966224490724,98
30,0.7313764333333265,78
