Puzzles,Avg_Times,Count of Solutions Found
1,0.8061597380000041,100
2,0.988725429000008,100
3,0.6899809640000106,100
4,1.082564927000012,100
5,2.357978310101017,99
6,0.3626012810000195,100
7,1.9048311282828305,99
8,0.5383707809999606,100
9,0.9214519940000057,100
10,1.2494130070000096,100
11,1.3998874740000276,100
12,0.6749355090000012,100
13,1.7500013869999669,100
14,0.666081985999995,100
15,1.2193020200000217,100
16,1.7913257450000248,100
17,1.498615822999974,100
18,2.151491967999985,100
19,3.448471269072154,97
20,1.0970433160000168,100
21,3.182685690721674,97
22,2.411720895000048,100
23,1.9252555450000204,100
24,2.1596986729999976,100
25,0.4247156630000111,100
26,0.728520367000036,100
27,1.3432711399999857,100
28,1.0680204370000066,100
29,0.3639270099999965,100
30,1.4917776759999872,100
