Puzzles,Times,Count of Solutions Found
1,0.4078928599999937,80
2,0.3740096666666745,54
3,0.3276216717646973,85
4,0.3282472813953569,43
5,0.46414513000001373,30
6,0.18204958333331922,84
7,0.3676093500000053,34
8,0.2014488500000102,46
9,0.3787545035714181,56
10,0.3459424611111144,36
11,0.4612031013888853,72
12,0.22589512307691947,65
13,0.3537808093750222,32
14,0.2345654515151616,66
15,0.3749186228070141,57
16,0.43549246666667524,51
17,0.38860132702701594,37
18,0.4456589867924517,53
19,0.40680321666669605,18
20,0.34860217654320835,81
21,0.39839969333332154,15
22,0.4944317891304216,46
23,0.35708886944444745,36
24,0.36156616129030333,31
25,0.19492282619046694,84
26,0.30844613333334786,72
27,0.38092878837207916,43
28,0.32210314545453406,55
29,0.22288655833333204,84
30,0.41638142500000397,40
