Puzzles,Avg_Times,Count of Solutions Found
1,0.5805285989583541,96
2,0.696386845652173,92
3,0.37382019090910323,99
4,0.5944908935064818,77
5,1.0444101517857238,56
6,0.29471950900002897,100
7,0.6977568781249952,64
8,0.4268230752941282,85
9,0.5657206382978609,94
10,0.6246803320987498,81
11,0.85295698526316,95
12,0.4972103206521851,92
13,0.6947310283582249,67
14,0.399935404081648,98
15,0.7585041835294013,85
16,0.8119554150684876,73
17,0.6936312982142766,56
18,1.206501447126442,87
19,1.3362179036363655,55
20,0.5388339340000344,100
21,0.8427422480000115,50
22,0.9393841556817893,88
23,0.6927362626666819,75
24,0.7294855258064429,62
25,0.32554621000001,100
26,0.5003215593750013,96
27,0.6332877333333025,75
28,0.5717427240964,83
29,0.2781422520000082,100
30,0.7198215734177204,79
