Puzzles,Avg_Times,Count of Solutions Found
1,0.6160075619999771,100
2,0.8273055220000242,100
3,0.5645524260001185,100
4,1.0013824424242943,99
5,1.3833007988888413,90
6,0.320306328000006,100
7,1.2757900705881826,85
8,0.7208256060001077,100
9,0.7074909272727969,99
10,1.1957233181817513,99
11,1.2566458039999633,100
12,0.5124699060000057,100
13,1.2834611510868499,92
14,0.4997226690000571,100
15,0.86408161145827,96
16,1.2080546265306853,98
17,1.2840622386363727,88
18,1.857737232631725,95
19,1.8559286905404382,74
20,0.6832090489997973,100
21,1.5328595602941544,68
22,1.4757902589999867,100
23,1.42763509687497,96
24,1.350259083157844,95
25,0.34047461000001933,100
26,0.6796161649999521,100
27,1.2798505541667093,96
28,0.8528781868686436,99
29,0.2836539009999433,100
30,1.255073381818158,99
