Puzzles,Avg_Times,Count of Solutions Found
1,0.8742255110000037,100
2,1.070516839000002,100
3,0.6175943170000264,100
4,1.0857334859999803,100
5,2.272474083673468,98
6,0.29295536000000877,100
7,1.8246927562500161,96
8,0.6782369130000271,100
9,0.9292808389999994,100
10,1.258925409999987,100
11,1.381713717000013,100
12,0.6451811750000139,100
13,1.506930336000034,100
14,0.6028311350000053,100
15,1.1216886469999727,100
16,1.8125056250000044,100
17,1.3830642039999987,100
18,2.247803291,100
19,2.8499888263157542,95
20,0.8984180839999932,100
21,2.821530564210541,95
22,2.220544093000019,100
23,1.7671748790000175,100
24,1.676440329292925,99
25,0.4272006229999937,100
26,0.7968788149999869,100
27,1.4274757640000058,100
28,1.059770612000005,100
29,0.357896686999987,100
30,1.7616353809999754,100
