Puzzles,Avg_Times,Count of Solutions Found
1,0.7961467020000157,100
2,1.4157243510000064,100
3,0.7894008250000257,100
4,1.2140137589999773,100
5,3.1434543789999725,100
6,0.3107467010000007,100
7,2.6158899210000275,100
8,0.7182390879999911,100
9,1.214746884000011,100
10,2.517748399000005,100
11,2.188889493999998,100
12,0.913484096000008,100
13,2.4919973890000024,100
14,0.7510945090000024,100
15,1.5351609959999968,100
16,2.3365132829999777,100
17,2.221873467999997,100
18,4.118084294999965,100
19,6.403368725000027,100
20,1.2572403910000256,100
21,6.949750939000029,100
22,4.726003235000018,100
23,3.49593022599997,100
24,2.8691684390000085,100
25,0.4013777720000008,100
26,0.8943715070000026,100
27,2.071421641999984,100
28,1.4090021270000124,100
29,0.29430849900000305,100
30,2.4728443930000026,100
