Puzzles,Times,Count of Solutions Found
1,0.4963427895348668,86
2,0.6116442433734879,83
3,0.36891900978260217,92
4,0.4877509966666481,60
5,0.749455863461553,52
6,0.22514147959182507,98
7,0.45414516818181494,44
8,0.3097981327868659,61
9,0.4487018482758806,87
10,0.41661488281251924,64
11,0.68022176741574,89
12,0.4365494158536792,82
13,0.4789610789473784,57
14,0.38623373977275366,88
15,0.4831820194029718,67
16,0.563425798275881,58
17,0.4163216551020852,49
18,0.7320846553571266,56
19,0.6977803437500179,32
20,0.4655327044444362,90
21,0.5259670850000575,20
22,0.8383325648648633,74
23,0.4695773499999709,54
24,0.5115305487179572,39
25,0.25298454489794103,98
26,0.41666120217392194,92
27,0.5285788629629629,54
28,0.43291851408450677,71
29,0.26116331458334474,96
30,0.5994136794520583,73
