Puzzles,Avg_Times,Count of Solutions Found
1,0.5726040363636806,99
2,0.8461252070707328,99
3,0.4540408410000009,100
4,0.6944640400000743,95
5,1.4083756000000167,79
6,0.32203650999998445,100
7,0.882116519403071,67
8,0.49627174842108185,95
9,0.7484905857142844,98
10,0.9573019144444566,90
11,0.9081925720000436,100
12,0.5119823326530543,98
13,0.9614491624999821,88
14,0.4616655320000064,100
15,0.7701199641303892,92
16,1.0697823333333314,96
17,0.8876345999999733,78
18,1.5954358717390773,92
19,1.8876709101449691,69
20,0.5481549169999608,100
21,1.1216819172413328,58
22,1.310589558947413,95
23,0.9464482274724565,91
24,1.0777712743902657,82
25,0.3376024939999752,100
26,0.6008769859999302,100
27,0.9375419375000175,88
28,0.7297181241758582,91
29,0.31367002599999066,100
30,1.1372420303030897,99
