Puzzles,Avg_Times,Count of Solutions Found
1,0.6643636889997834,100
2,0.9010390070001267,100
3,0.5728384499999629,100
4,0.9165346310002315,100
5,1.9019550784090702,88
6,0.3015824780000366,100
7,1.1753747967034212,91
8,0.6263615420001042,100
9,0.9161617429999387,100
10,1.0754664390000288,100
11,1.029259274999913,100
12,0.5131119709998165,100
13,1.3747655752578662,97
14,0.5231271470000319,100
15,1.0291390919191319,99
16,1.619024181817925,99
17,1.2285377635417376,96
18,2.0677464030612804,98
19,2.7375678725274266,91
20,0.821259545999892,100
21,1.9107039250002562,84
22,1.5975899510001363,100
23,1.3136368739583872,96
24,1.6217464916668405,96
25,0.39005208099999433,100
26,0.718123910999875,100
27,1.4276050071428434,98
28,0.796380919999956,100
29,0.29089991300013934,100
30,1.233485617000224,100
