Puzzles,Times
1,0.9105920000000001
2,0.15230379999999988
3,0.31617870000000003
4,1.320261
5,3.2997237000000004
6,0.13575249999999972
7,2.7811476000000006
8,0.15514640000000135
9,0.47706679999999935
10,0.8317529999999991
11,0.8457152000000008
12,1.1668380000000003
13,0.6774348000000003
14,0.37990749999999984
15,1.0066745999999984
16,1.1926831
17,0.14566839999999992
18,2.670915400000002
19,5.477962899999998
20,0.24296219999999735
21,3.0206839000000016
22,1.4873069
23,2.4142781000000006
24,3.4902244000000024
25,0.32389230000000424
26,0.6451726000000022
27,2.467427999999998
28,1.2360595000000032
29,0.5935674999999989
30,1.5452773000000022
