Puzzles,Times
1,2.3648584
2,0.47437759999999995
3,0.4380543000000001
4,0.4856703999999996
5,0.3205208000000006
6,0.07442409999999988
7,1.5916641
8,0.15354329999999994
9,2.0678755000000004
10,2.2650266000000006
11,2.709617099999999
12,0.3231471999999993
13,3.1345307999999985
14,0.5631610000000009
15,0.5614990000000013
16,1.065558000000003
17,0.22184200000000232
18,1.6215486000000006
19,7.175647599999998
20,2.140300800000002
21,0.5978573000000011
22,0.06923349999999928
23,5.226144600000001
24,2.352203199999998
25,0.7397989000000038
26,0.3839747000000031
27,4.111381600000001
28,0.6655613000000002
29,0.14961780000000147
30,1.1811937000000015
