Puzzles,Avg_Times,Count of Solutions Found
1,8.135495320548097,73
2,8.114909369117754,68
3,7.730690569767484,86
4,7.851326134615629,52
5,8.20186937200022,25
6,7.285066912121148,99
7,8.277559577419462,31
8,7.4453857056181265,89
9,7.9155979098592555,71
10,8.362817344444313,36
11,8.117440103703679,54
12,7.919510219318145,88
13,8.227931607143008,28
14,7.668672270238145,84
15,8.297884659999948,50
16,8.136831972413363,29
17,7.931532185366134,41
18,7.979490926087178,23
19,8.416199954999701,20
20,8.103433132075459,53
21,8.274056276923435,13
22,8.549906204999843,20
23,8.356920758064744,31
24,7.893608800000192,34
25,7.44361951300006,100
26,7.832029088000084,75
27,8.170690411904843,42
28,8.224175792187308,64
29,6.817340513131435,99
30,8.104910554054088,37
