Puzzles,Times
1,0.6015284999999999
2,1.3689596000000002
3,0.2561251000000002
4,0.8144187
5,2.2650889000000003
6,0.1537607999999997
7,0.4335331999999994
8,0.21105399999999985
9,1.0669024
10,0.9680872999999997
11,1.5157374999999984
12,0.38817449999999987
13,0.3830188999999997
14,0.15024610000000038
15,0.5465409000000001
16,1.6514491000000007
17,0.6071127000000001
18,2.2798292999999994
19,9.3438962
20,1.3017912000000003
21,2.7144358000000004
22,3.134537599999998
23,1.4995146000000048
24,2.669158799999998
25,0.7336052000000066
26,0.7573397000000028
27,1.5780689999999993
28,0.7870761000000002
29,0.29341660000000047
30,1.8256755999999967
